name,ansprechpartner_name,ansprechpartner_rolle,adresse,plz,ort,bundesland,bezirk_region,telefon,fax,email,website,google_maps,branche,kategorie,verbrauchspotenzial,datum_gefunden,quell_url
Rudolf Jatzke Galvanik-Hartchrom,,,,33689,Bielefeld,Nordrhein-Westfalen,Bielefeld,05205-52 88,,info@jatzke-hartchrom.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Rudolf%20Jatzke%20Galvanik-Hartchrom%20%2033689%20Bielefeld,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/bielefeld_rudolf_jatzke_galvanik_hartchrom.htm
Ade Metallveredlung GmbH,,,,64319,Pfungstadt,Hessen,Darmstadt,06157-35 09,,ade-pfungstadt@t-online.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Ade%20Metallveredlung%20GmbH%20%2064319%20Pfungstadt,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/pfungstadt_ade_metallveredlung_gmbh.htm
Metallveredlung Kotsch GmbH,,,,08289,Schneeberg,Sachsen,,03772-35 887-70,,info@metallveredlung-kotsch.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Metallveredlung%20Kotsch%20GmbH%20%2008289%20Schneeberg,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/schneeberg_metallveredlung_kotsch_gmbh.htm
Assmus Metallveredelung GmbH,,,,63128,Dietzenbach,Hessen,Frankfurt/Offenbach,06074-49 98-0,,info@assmus-gmbh.de,http://www.Oberflaechenbehandlung.com,https://www.google.com/maps/search/?api=1&query=Assmus%20Metallveredelung%20GmbH%20%2063128%20Dietzenbach,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.oberflaechenbehandlung.com/firmen/dietzenbach_assmus_metallveredelung_gmbh.htm
Heimerle + Meule GmbH,,,,75179,Pforzheim,Baden-Wuerttemberg,,07231-94 0-0,,info@heimerle-meule.com,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Heimerle%20%2B%20Meule%20GmbH%20%2075179%20Pforzheim,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/pforzheim_heimerle__meule_gmbh.htm
Hermann Huster GmbH & Co KG,,,,58091,Hagen,Nordrhein-Westfalen,,02331-977-0,,info@huster-hagen.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Hermann%20Huster%20GmbH%20%26%20Co%20KG%20%2058091%20Hagen,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/hagen___westf_hermann_huster_gmbh__co_kg.htm
Galvanoservice Bayer GmbH,,,,84518,Garching,Bayern,Landshut,08634-98 60 11 1,,info@winfried-bayer.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Galvanoservice%20Bayer%20GmbH%20%2084518%20Garching,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/garching_an_der_alz_galvanoservice_bayer_gmbh.htm
HR Metallveredelung GmbH,,,,97076,Wuerzburg,Bayern,Wuerzburg,0931-27 98 6-0,,info@reinmuth-galvanik.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=HR%20Metallveredelung%20GmbH%20%2097076%20Wuerzburg,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/wuerzburg_hr_metallveredelung_gmbh.htm
BIA Kunststoff- und Galvanotechnik GmbH & Co. KG,,,,42655,Solingen,Nordrhein-Westfalen,Wuppertal,0212-22 33 0-0,,vertrieb@bia-kunststoff.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=BIA%20Kunststoff-%20und%20Galvanotechnik%20GmbH%20%26%20Co.%20KG%20%2042655%20Solingen,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/solingen_bia_kunststoff_und_galvanotechnik_gmbh__c.htm
Dittes Galvanik GmbH,,,,75217,Birkenfeld,Baden-Wuerttemberg,,07231-48 00 44,,info@dittes-galvanik.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Dittes%20Galvanik%20GmbH%20%2075217%20Birkenfeld,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/birkenfeld_dittes_galvanik_gmbh.htm
Althaus Galvanik- und Pulverbeschichtungs GmbH,,,,04129,Leipzig,Sachsen,Leipzig,0341-91 20 59 4,,info@althaus-galvanik-pulverbeschichtung.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Althaus%20Galvanik-%20und%20Pulverbeschichtungs%20GmbH%20%2004129%20Leipzig,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/leipzig_althaus_galvanik_und_pulverbeschichtungs_g.htm
Otto Brenscheidt GmbH & Co. KG,,,,58636,Iserlohn,Nordrhein-Westfalen,,02371-24 57 9,,info@brenscheidt-galvanik.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Otto%20Brenscheidt%20GmbH%20%26%20Co.%20KG%20%2058636%20Iserlohn,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/iserlohn_otto_brenscheidt_gmbh__co_kg.htm
Zeschky Galvanik GmbH & Co. Arnsberg KG,,,,59757,Arnsberg,Nordrhein-Westfalen,,02932-97 01-0,,info@zeschky.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Zeschky%20Galvanik%20GmbH%20%26%20Co.%20Arnsberg%20KG%20%2059757%20Arnsberg,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/arnsberg_zeschky_galvanik_gmbh__co_arnsberg_kg.htm
Atotech Deutschland GmbH,,,,10553,Berlin,Berlin,Berlin,030-34 98 5-0,,info@atotech.com,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Atotech%20Deutschland%20GmbH%20%2010553%20Berlin,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/berlin_atotech_deutschland_gmbh.htm
Gimbel Galvanik GmbH,,,,58091,Hagen,Nordrhein-Westfalen,,02331-37 75 55-0,,info@gimbel-galvanik.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Gimbel%20Galvanik%20GmbH%20%2058091%20Hagen,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/hagen_gimbel_galvanik_gmbh.htm
Heidenauer Galvanik,,,,01809,Heidenau,Sachsen,Dresden,03529-51 22 80,,info@heidenauer-galvanik.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Heidenauer%20Galvanik%20%2001809%20Heidenau,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/heidenau_heidenauer_galvanik.htm
"Galvano Weis, Weis GmbH & Co.",,,,82275,Emmering,Bayern,Muenchen,08141-53 46 4-0,,info@galvano-weis.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Galvano%20Weis%2C%20Weis%20GmbH%20%26%20Co.%20%2082275%20Emmering,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/emmering_galvano_weis_weis_gmbh__co_.htm
Hahn Oberflächentechnik,,,,95339,Neuenmarkt,Bayern,,09227-90 94-01,,info@hahn-oberflaechentechnik.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Hahn%20Oberfl%C3%A4chentechnik%20%2095339%20Neuenmarkt,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/neuenmarkt_hahn_oberflaechentechnik.htm
